APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Nandura,Wheat(Husked),2016,2016-02,1655,Rabi Crops,,217,15
Dondaicha,Bajri,2016,2016-01,1425,Kharif Crops,1330.0,216,16
Sillod-Bharadi,Mustard,2016,2016-02,3387,Rabi Crops,,216,7
Lasalgaon,Maize,2015,2015-01,1215,Kharif Crops,1325.0,216,19
Lonar,Pigeon Pea (Tur),2016,2016-06,8767,Kharif Crops,4625.0,216,3
Lasalgaon-Vinchur,Maize,2016,2016-11,1205,Kharif Crops,1365.0,216,19
Shegaon,Wheat(Husked),2016,2016-10,1610,Rabi Crops,,216,14
Kalamb (Os),Bajri,2016,2016-11,1169,Kharif Crops,1330.0,216,19
Shirpur,Maize,2016,2016-11,1157,Kharif Crops,1365.0,216,20
Shegaon,Wheat(Husked),2016,2016-03,1595,Rabi Crops,,216,14
Majalgaon,Wheat(Husked),2015,2015-02,1431,Rabi Crops,1525.0,216,15
Chopda,Wheat(Husked),2016,2016-01,1597,Rabi Crops,,216,14
Armori-Desaiganj,Paddyunhusked,2015,2015-10,1664,Kharif Crops,1410.0,216,14
Devala,Bajri,2016,2016-02,1510,Kharif Crops,1330.0,216,15
Chalisgaon,Sunflower,2014,2014-12,2883,Kharif Crops,3750.0,216,8
Shirpur,Sorgum(Jawar),2015,2015-01,1590,Kharif Crops,1590.0,216,14
Barshi,Pigeon Pea (Tur),2014,2014-10,3859,Kharif Crops,4350.0,216,6
Lonar,Sorgum(Jawar),2016,2016-04,1372,Kharif Crops,1650.0,216,16
Dhule,Sorgum(Jawar),2015,2015-04,1460,Kharif Crops,1590.0,216,16
Amarawati,Pigeon Pea (Tur),2016,2016-10,6633,Kharif Crops,4625.0,216,4
Paithan,Wheat(Husked),2015,2015-11,1711,Rabi Crops,1525.0,216,13
Partur,Wheat(Husked),2015,2015-02,1445,Rabi Crops,1525.0,216,15
Malkapur,Sorgum(Jawar),2015,2015-11,1299,Kharif Crops,1590.0,216,17
Dudhani,Pigeon Pea (Tur),2015,2015-09,9943,Kharif Crops,4425.0,216,3
Phaltan,Maize,2015,2015-12,1466,Kharif Crops,1325.0,216,16
Kille Dharur,Wheat(Husked),2014,2014-11,1552,Rabi Crops,1450.0,216,15
Jalgaon Jamod-Aasalgaon,Wheat(Husked),2015,2015-01,1425,Rabi Crops,1525.0,216,16
Pathardi,Sorgum(Jawar),2015,2015-10,1641,Kharif Crops,1590.0,216,14
Kalamnuri,Pigeon Pea (Tur),2016,2016-01,8552,Kharif Crops,4625.0,216,3
Lasalgaon,Maize,2016,2016-01,1446,Kharif Crops,1365.0,216,16
Sangrampur,Maize,2015,2015-02,1008,Kharif Crops,1325.0,216,22
Koregaon,Sorgum(Jawar),2014,2014-12,1625,Kharif Crops,1550.0,216,14
Kalyan,Bajri,2016,2016-08,1892,Kharif Crops,1330.0,216,12
Aheri,Pigeon Pea (Tur),2016,2016-01,7917,Kharif Crops,4625.0,216,3
Raver,Bajri,2014,2014-12,1477,Kharif Crops,1250.0,215,16
Lasalgaon,Sorgum(Jawar),2015,2015-04,1571,Kharif Crops,1590.0,215,14
Karanja,Wheat(Husked),2014,2014-10,1418,Rabi Crops,1450.0,215,16
Sangamner,Sorgum(Jawar),2015,2015-06,1858,Kharif Crops,1590.0,215,12
Ausa,Safflower,2016,2016-01,2688,Rabi Crops,,215,8
Tumsar,Wheat(Husked),2016,2016-03,1576,Rabi Crops,,215,14
Sailu,Pigeon Pea (Tur),2016,2016-10,6260,Kharif Crops,4625.0,215,4
Pusad,Sorgum(Jawar),2014,2014-10,1431,Kharif Crops,1550.0,215,16
Digras,Pigeon Pea (Tur),2016,2016-07,8416,Kharif Crops,4625.0,215,3
Achalpur,Wheat(Husked),2015,2015-03,1584,Rabi Crops,1525.0,215,14
Ashti-Karanja,Wheat(Husked),2016,2016-03,1514,Rabi Crops,,215,15
Dound,Bajri,2015,2015-04,1469,Kharif Crops,1275.0,215,15
Bhiwapur,Wheat(Husked),2016,2016-05,1510,Rabi Crops,,215,15
Ner Parasopant,Pigeon Pea (Tur),2016,2016-05,8498,Kharif Crops,4625.0,215,3
Shegaon,Mustard,2015,2015-01,3055,Rabi Crops,3350.0,215,8
Yawal,Maize,2015,2015-11,1234,Kharif Crops,1325.0,215,18
Partur,Bajri,2015,2015-12,1453,Kharif Crops,1275.0,215,16
Yeola,Pigeon Pea (Tur),2015,2015-04,5340,Kharif Crops,4425.0,215,5
Jalgaon Jamod-Aasalgaon,Maize,2016,2016-10,1193,Kharif Crops,1365.0,215,19
Indapur (Nimgaon Ketki),Sorgum(Jawar),2015,2015-08,1256,Kharif Crops,1590.0,215,18
Kalamb (Os),Sesamum,2014,2014-11,8653,Kharif Crops,4600.0,215,3
Parbhani,Sorgum(Jawar),2015,2015-05,1668,Kharif Crops,1590.0,215,13
Mangrulpeer,Wheat(Husked),2016,2016-09,1710,Rabi Crops,,215,13
Kej,Sorgum(Jawar),2016,2016-01,1939,Kharif Crops,1650.0,215,12
Vaijapur,Pigeon Pea (Tur),2016,2016-07,7465,Kharif Crops,4625.0,215,3
Ahmednagar,Bajri,2015,2015-11,1579,Kharif Crops,1275.0,215,14
Sinner,Bajri,2015,2015-05,1221,Kharif Crops,1275.0,215,18
Lasalgaon-Vinchur,Sorgum(Jawar),2016,2016-08,1630,Kharif Crops,1650.0,215,14
Rahuri-Vambori,Sorgum(Jawar),2014,2014-11,2020,Kharif Crops,1550.0,215,11
Lasalgaon,Sorgum(Jawar),2014,2014-10,1992,Kharif Crops,1550.0,215,11
Wardha,Cotton,2015,2015-12,4317,Kharif Crops,3800.0,215,6
Rahuri-Vambori,Sorgum(Jawar),2015,2015-09,1464,Kharif Crops,1590.0,214,15
Khamgaon,Sunflower,2016,2016-05,3125,Kharif Crops,3850.0,214,7
Bhivandi,Wheat(Husked),2015,2015-02,1729,Rabi Crops,1525.0,214,13
Akola,Sorgum(Jawar),2016,2016-04,1433,Kharif Crops,1650.0,214,15
Gevrai,Bajri,2016,2016-03,1604,Kharif Crops,1330.0,214,14
Satana,Maize,2014,2014-12,1063,Kharif Crops,1310.0,214,21
Latur,Safflower,2016,2016-04,2813,Rabi Crops,,214,8
Fulambri,Cotton,2016,2016-03,4523,Kharif Crops,3860.0,214,5
Beed,Bajri,2016,2016-08,1645,Kharif Crops,1330.0,214,14
Amarawati,Bajri,2016,2016-06,1895,Kharif Crops,1330.0,214,12
Chikhali,Maize,2016,2016-02,1216,Kharif Crops,1365.0,214,18
Anajngaon Surji,Wheat(Husked),2014,2014-12,1511,Rabi Crops,1450.0,214,15
Chikhali,Maize,2015,2015-11,1204,Kharif Crops,1325.0,214,18
Pathardi,Cotton,2014,2014-11,3914,Kharif Crops,3750.0,214,6
Pathari,Sorgum(Jawar),2015,2015-08,813,Kharif Crops,1590.0,214,13
Amalner,Bajri,2014,2014-10,1184,Kharif Crops,1250.0,214,19
Jalna,Wheat(Husked),2015,2015-05,1678,Rabi Crops,1525.0,214,13
Raver,Sorgum(Jawar),2014,2014-10,1335,Kharif Crops,1550.0,214,17
Malkapur,Maize,2016,2016-06,1539,Kharif Crops,1365.0,214,15
Mul,Paddyunhusked,2016,2016-03,2021,Kharif Crops,1470.0,214,11
Shrirampur,Bajri,2015,2015-05,1439,Kharif Crops,1275.0,214,15
Parbhani,Cotton,2016,2016-05,4894,Kharif Crops,3860.0,214,5
Satana,Wheat(Husked),2014,2014-10,1545,Rabi Crops,1450.0,214,14
Devala,Bajri,2014,2014-10,1376,Kharif Crops,1250.0,214,16
Ahmednagar,Wheat(Husked),2014,2014-11,1677,Rabi Crops,1450.0,214,13
Akhadabalapur,Pigeon Pea (Tur),2014,2014-10,4107,Kharif Crops,4350.0,214,6
Jintur,Sorgum(Jawar),2016,2016-08,1647,Kharif Crops,1650.0,214,14
Digras,Pigeon Pea (Tur),2015,2015-05,6451,Kharif Crops,4425.0,214,4
Vaijapur,Maize,2014,2014-11,1021,Kharif Crops,1310.0,214,22
Mohol,Pigeon Pea (Tur),2014,2014-11,3277,Kharif Crops,4350.0,214,7
Shirpur,Bajri,2016,2016-03,1509,Kharif Crops,1330.0,214,15
Vaduj,Sorgum(Jawar),2015,2015-11,2300,Kharif Crops,1590.0,213,10
Nanded,Pigeon Pea (Tur),2015,2015-05,5967,Kharif Crops,4425.0,213,4
Chopda,Sorgum(Jawar),2016,2016-11,1559,Kharif Crops,1650.0,213,14
Nandura,Sorgum(Jawar),2015,2015-07,1241,Kharif Crops,1590.0,213,19
Sangrampur,Wheat(Husked),2015,2015-03,1264,Rabi Crops,1525.0,213,17
Amalner,Maize,2015,2015-11,1482,Kharif Crops,1325.0,213,16
Sangamner,Wheat(Husked),2016,2016-03,1742,Rabi Crops,,213,13
Sonpeth,Wheat(Husked),2016,2016-10,2026,Rabi Crops,,213,11
Ausa,Sorgum(Jawar),2015,2015-10,1613,Kharif Crops,1590.0,213,14
Mul,Paddyunhusked,2016,2016-01,1964,Kharif Crops,1470.0,213,12
Akot,Sorgum(Jawar),2015,2015-01,1365,Kharif Crops,1590.0,213,15
Nagpur,Wheat(Husked),2015,2015-09,1991,Rabi Crops,1525.0,213,11
Dondaicha,Sorgum(Jawar),2015,2015-08,1518,Kharif Crops,1590.0,213,15
Pachora,Maize,2016,2016-01,1334,Kharif Crops,1365.0,213,17
Vani,Cotton,2015,2015-12,4231,Kharif Crops,3800.0,213,6
